# 类号 码点(hex) 码点(dec)
2196 U+F2FA4 995236
2197 U+F2FA5 995237
2198 U+F2FA6 995238
2199 U+F2FA7 995239
2200 U+F2FA8 995240
2201 U+F2FA9 995241
2202 U+F2FAA 995242
2203 U+F2FAB 995243
2204 U+F2FAC 995244
2205 U+F2FAD 995245
2206 U+F2FAE 995246
2207 U+F2FAF 995247
2208 U+F2FB0 995248
2209 U+F2FB1 995249
2210 U+F2FB2 995250
2211 U+F2FB3 995251
2212 U+F2FB4 995252
2213 U+F2FB5 995253
2214 U+F2FB6 995254
2215 U+F2FB7 995255
2216 U+F2FB8 995256
2217 U+F2FB9 995257
2218 U+F2FBA 995258
2219 U+F2FBB 995259
2220 U+F2FBC 995260
2221 U+F2FBD 995261
2222 U+F2FBE 995262
2223 U+F2FBF 995263
2224 U+F2FC0 995264
2225 U+F2FC1 995265
2226 U+F2FC2 995266
2227 U+F2FC3 995267
2228 U+F2FC4 995268
2229 U+F2FC5 995269
2230 U+F2FC6 995270
2231 U+F2FC7 995271
2232 U+F2FC8 995272
2233 U+F2FC9 995273
2234 U+F2FCA 995274
2235 U+F2FCB 995275
2236 U+F2FCC 995276
2237 U+F2FCD 995277
2238 U+F2FCE 995278
2239 U+F2FCF 995279
2240 U+F2FD0 995280
2241 U+F2FD1 995281
2242 U+F2FD2 995282
2243 U+F2FD3 995283
2244 U+F2FD4 995284
2245 U+F2FD5 995285
2246 U+F2FD6 995286
2247 U+F2FD7 995287
2248 U+F2FD8 995288
2249 U+F2FD9 995289
2250 U+F2FDA 995290
2251 U+F2FDB 995291
2252 U+F2FDC 995292
2253 U+F2FDD 995293
2254 U+F2FDE 995294
2255 U+F2FDF 995295
2256 U+F2FE0 995296
2257 U+F2FE1 995297
2258 U+F2FE2 995298
2259 U+F2FE3 995299
2260 U+F2FE4 995300
2261 U+F2FE5 995301
2262 U+F2FE6 995302
2263 U+F2FE7 995303
2264 U+F2FE8 995304
2265 U+F2FE9 995305
2266 U+F2FEA 995306
2267 U+F2FEB 995307
2268 U+F2FEC 995308
2269 U+F2FED 995309
2270 U+F2FEE 995310
2271 U+F2FEF 995311
2272 U+F2FF0 995312
2273 U+F2FF1 995313
2274 U+F2FF2 995314
2275 U+F2FF3 995315
2276 U+F2FF4 995316
2277 U+F2FF5 995317
2278 U+F2FF6 995318
2279 U+F2FF7 995319
2280 U+F2FF8 995320
2281 U+F2FF9 995321
2282 U+F2FFA 995322
2283 U+F2FFB 995323
2284 U+F2FFC 995324
2285 U+F2FFD 995325
2286 U+F2FFE 995326
2287 U+F2FFF 995327
2288 U+F3000 995328
2289 U+F3001 995329
2290 U+F3002 995330
2291 U+F3003 995331
2292 U+F3004 995332
2293 U+F3005 995333
2294 U+F3006 995334
2295 U+F3007 995335
2296 U+F3008 995336
2297 U+F3009 995337
2298 U+F300A 995338
2299 U+F300B 995339
2300 U+F300C 995340
2301 U+F300D 995341
2302 U+F300E 995342
2303 U+F300F 995343
2304 U+F3010 995344
2305 U+F3011 995345
2306 U+F3012 995346
2307 U+F3013 995347
2308 U+F3014 995348
2309 U+F3015 995349
2310 U+F3016 995350
2311 U+F3017 995351
2312 U+F3018 995352
2313 U+F3019 995353
2314 U+F301A 995354
2315 U+F301B 995355
2316 U+F301C 995356
2317 U+F301D 995357
2318 U+F301E 995358
2319 U+F301F 995359
2320 U+F3020 995360
2321 U+F3021 995361
2322 U+F3022 995362
2323 U+F3023 995363
2324 U+F3024 995364
2325 U+F3025 995365
2326 U+F3026 995366
2327 U+F3027 995367
2328 U+F3028 995368
2329 U+F3029 995369
2330 U+F302A 995370
2331 U+F302B 995371
2332 U+F302C 995372
2333 U+F302D 995373
2334 U+F302E 995374
2335 U+F302F 995375
2336 U+F3030 995376
2337 U+F3031 995377
2338 U+F3032 995378
2339 U+F3033 995379
2340 U+F3034 995380
2341 U+F3035 995381
2342 U+F3036 995382
2343 U+F3037 995383
2344 U+F3038 995384
2345 U+F3039 995385
2346 U+F303A 995386
2347 U+F303B 995387
2348 U+F303C 995388
2349 U+F303D 995389
2350 U+F303E 995390
2351 U+F303F 995391
2352 U+F3040 995392
2353 U+F3041 995393
2354 U+F3042 995394
2355 U+F3043 995395
2356 U+F3044 995396
2357 U+F3045 995397
2358 U+F3046 995398
2359 U+F3047 995399
2360 U+F3048 995400
2361 U+F3049 995401
2362 U+F304A 995402
2363 U+F304B 995403
2364 U+F304C 995404
2365 U+F304D 995405
2366 U+F304E 995406
2367 U+F304F 995407
2368 U+F3050 995408
2369 U+F3051 995409
2370 U+F3052 995410
2371 U+F3053 995411
2372 U+F3054 995412
2373 U+F3055 995413
2374 U+F3056 995414
2375 U+F3057 995415
2376 U+F3058 995416
2377 U+F3059 995417
2378 U+F305A 995418
2379 U+F305B 995419
2380 U+F305C 995420
2381 U+F305D 995421
2382 U+F305E 995422
2383 U+F305F 995423
2384 U+F3060 995424
2385 U+F3061 995425
2386 U+F3062 995426
2387 U+F3063 995427
2388 U+F3064 995428
2389 U+F3065 995429
2390 U+F3066 995430
2391 U+F3067 995431
2392 U+F3068 995432
2393 U+F3069 995433
2394 U+F306A 995434
2395 U+F306B 995435
2396 U+F306C 995436
2397 U+F306D 995437
2398 U+F306E 995438
2399 U+F306F 995439
2400 U+F3070 995440
2401 U+F3071 995441
2402 U+F3072 995442
2403 U+F3073 995443
2404 U+F3074 995444
2405 U+F3075 995445
2406 U+F3076 995446
2407 U+F3077 995447
2408 U+F3078 995448
2409 U+F3079 995449
2410 U+F307A 995450
2411 U+F307B 995451
2412 U+F307C 995452
2413 U+F307D 995453
2414 U+F307E 995454
2415 U+F307F 995455
2416 U+F3080 995456
2417 U+F3081 995457
2418 U+F3082 995458
2419 U+F3083 995459
2420 U+F3084 995460
2421 U+F3085 995461
2422 U+F3086 995462
2423 U+F3087 995463
2424 U+F3088 995464
2425 U+F3089 995465
2426 U+F308A 995466
2427 U+F308B 995467
2428 U+F308C 995468
2429 U+F308D 995469
2430 U+F308E 995470
2431 U+F308F 995471
2432 U+F3090 995472
2433 U+F3091 995473
2434 U+F3092 995474
2435 U+F3093 995475
2436 U+F3094 995476
2437 U+F3095 995477
2438 U+F3096 995478
2439 U+F3097 995479
2440 U+F3098 995480
2441 U+F3099 995481
2442 U+F309A 995482
2443 U+F309B 995483
2444 U+F309C 995484
2445 U+F309D 995485
2446 U+F309E 995486
2447 U+F309F 995487
2448 U+F30A0 995488
2449 U+F30A1 995489
2450 U+F30A2 995490
2451 U+F30A3 995491
2452 U+F30A4 995492
2453 U+F30A5 995493
2454 U+F30A6 995494
2455 U+F30A7 995495
2456 U+F30A8 995496
2457 U+F30A9 995497
2458 U+F30AA 995498
2459 U+F30AB 995499
2460 U+F30AC 995500
2461 U+F30AD 995501
2462 U+F30AE 995502
2463 U+F30AF 995503
2464 U+F30B0 995504
2465 U+F30B1 995505
2466 U+F30B2 995506
2467 U+F30B3 995507
2468 U+F30B4 995508
2469 U+F30B5 995509
2470 U+F30B6 995510
2471 U+F30B7 995511
2472 U+F30B8 995512
2473 U+F30B9 995513
2474 U+F30BA 995514
2475 U+F30BB 995515
2476 U+F30BC 995516
2477 U+F30BD 995517
2478 U+F30BE 995518
2479 U+F30BF 995519
2480 U+F30C0 995520
2481 U+F30C1 995521
2482 U+F30C2 995522
2483 U+F30C3 995523
2484 U+F30C4 995524
2485 U+F30C5 995525
2486 U+F30C6 995526
2487 U+F30C7 995527
2488 U+F30C8 995528
2489 U+F30C9 995529
2490 U+F30CA 995530
2491 U+F30CB 995531
2492 U+F30CC 995532
2493 U+F30CD 995533
2494 U+F30CE 995534
2495 U+F30CF 995535
2496 U+F30D0 995536
2497 U+F30D1 995537
2498 U+F30D2 995538
2499 U+F30D3 995539
2500 U+F30D4 995540
2501 U+F30D5 995541
2502 U+F30D6 995542
2503 U+F30D7 995543
2504 U+F30D8 995544
2505 U+F30D9 995545
2506 U+F30DA 995546
2507 U+F30DB 995547
2508 U+F30DC 995548
2509 U+F30DD 995549
2510 U+F30DE 995550
2511 U+F30DF 995551
2512 U+F30E0 995552
2513 U+F30E1 995553
2514 U+F30E2 995554
2515 U+F30E3 995555
2516 U+F30E4 995556
2517 U+F30E5 995557
2518 U+F30E6 995558
2519 U+F30E7 995559
2520 U+F30E8 995560
2521 U+F30E9 995561
2522 U+F30EA 995562
2523 U+F30EB 995563
2524 U+F30EC 995564
2525 U+F30ED 995565
2526 U+F30EE 995566
2527 U+F30EF 995567
2528 U+F30F0 995568
2529 U+F30F1 995569
2530 U+F30F2 995570
2531 U+F30F3 995571
2532 U+F30F4 995572
2533 U+F30F5 995573
2534 U+F30F6 995574
2535 U+F30F7 995575
2536 U+F30F8 995576
2537 U+F30F9 995577
2538 U+F30FA 995578
2539 U+F30FB 995579
2540 U+F30FC 995580
2541 U+F30FD 995581
2542 U+F30FE 995582
2543 U+F30FF 995583
2544 U+F3100 995584
2545 U+F3101 995585
2546 U+F3102 995586
2547 U+F3103 995587
2548 U+F3104 995588
2549 U+F3105 995589
2550 U+F3106 995590
2551 U+F3107 995591
2552 U+F3108 995592
2553 U+F3109 995593
2554 U+F310A 995594
2555 U+F310B 995595
2556 U+F310C 995596
2557 U+F310D 995597
2558 U+F310E 995598
2559 U+F310F 995599
2560 U+F3110 995600
2561 U+F3111 995601
2562 U+F3112 995602
2563 U+F3113 995603
2564 U+F3114 995604
2565 U+F3115 995605
2566 U+F3116 995606
2567 U+F3117 995607
2568 U+F3118 995608
2569 U+F3119 995609
2570 U+F311A 995610
2571 U+F311B 995611
2572 U+F311C 995612
2573 U+F311D 995613
2574 U+F311E 995614
2575 U+F311F 995615
2576 U+F3120 995616
2577 U+F3121 995617
2578 U+F3122 995618
2579 U+F3123 995619
2580 U+F3124 995620
2581 U+F3125 995621
2582 U+F3126 995622
2583 U+F3127 995623
2584 U+F3128 995624
2585 U+F3129 995625
2586 U+F312A 995626
2587 U+F312B 995627
2588 U+F312C 995628
2589 U+F312D 995629
2590 U+F312E 995630
2591 U+F312F 995631
2592 U+F3130 995632
2593 U+F3131 995633
2594 U+F3132 995634
2595 U+F3133 995635
2596 U+F3134 995636
2597 U+F3135 995637
2598 U+F3136 995638
2599 U+F3137 995639
2600 U+F3138 995640
2601 U+F3139 995641
2602 U+F313A 995642
2603 U+F313B 995643
2604 U+F313C 995644
2605 U+F313D 995645
2606 U+F313E 995646
2607 U+F313F 995647
2608 U+F3140 995648
2609 U+F3141 995649
2610 U+F3142 995650
2611 U+F3143 995651
2612 U+F3144 995652
2613 U+F3145 995653
2614 U+F3146 995654
2615 U+F3147 995655
2616 U+F3148 995656
2617 U+F3149 995657
2618 U+F314A 995658
2619 U+F314B 995659
2620 U+F314C 995660
2621 U+F314D 995661
2622 U+F314E 995662
2623 U+F314F 995663
2624 U+F3150 995664
2625 U+F3151 995665
2626 U+F3152 995666
2627 U+F3153 995667
2628 U+F3154 995668
2629 U+F3155 995669
2630 U+F3156 995670
2631 U+F3157 995671
2632 U+F3158 995672
2633 U+F3159 995673
2634 U+F315A 995674
2635 U+F315B 995675
2636 U+F315C 995676
2637 U+F315D 995677
2638 U+F315E 995678
2639 U+F315F 995679
2640 U+F3160 995680
2641 U+F3161 995681
2642 U+F3162 995682
2643 U+F3163 995683
2644 U+F3164 995684
2645 U+F3165 995685
2646 U+F3166 995686
2647 U+F3167 995687
2648 U+F3168 995688
2649 U+F3169 995689
2650 U+F316A 995690
2651 U+F316B 995691
2652 U+F316C 995692
2653 U+F316D 995693
2654 U+F316E 995694
2655 U+F316F 995695
2656 U+F3170 995696
2657 U+F3171 995697
2658 U+F3172 995698
2659 U+F3173 995699
2660 U+F3174 995700
2661 U+F3175 995701
2662 U+F3176 995702
2663 U+F3177 995703
2664 U+F3178 995704
2665 U+F3179 995705
2666 U+F317A 995706
2667 U+F317B 995707
2668 U+F317C 995708
2669 U+F317D 995709
2670 U+F317E 995710
2671 U+F317F 995711
2672 U+F3180 995712
2673 U+F3181 995713
2674 U+F3182 995714
2675 U+F3183 995715
2676 U+F3184 995716
2677 U+F3185 995717
2678 U+F3186 995718
2679 U+F3187 995719
2680 U+F3188 995720
2681 U+F3189 995721
2682 U+F318A 995722
2683 U+F318B 995723
2684 U+F318C 995724
2685 U+F318D 995725
2686 U+F318E 995726
2687 U+F318F 995727
2688 U+F3190 995728
2689 U+F3191 995729
2690 U+F3192 995730
2691 U+F3193 995731
2692 U+F3194 995732
2693 U+F3195 995733
2694 U+F3196 995734
2695 U+F3197 995735
2696 U+F3198 995736
2697 U+F3199 995737
2698 U+F319A 995738
2699 U+F319B 995739
2700 U+F319C 995740
2701 U+F319D 995741
2702 U+F319E 995742
2703 U+F319F 995743
2704 U+F31A0 995744
2705 U+F31A1 995745
2706 U+F31A2 995746
2707 U+F31A3 995747
2708 U+F31A4 995748
2709 U+F31A5 995749
2710 U+F31A6 995750
2711 U+F31A7 995751
2712 U+F31A8 995752
2713 U+F31A9 995753
2714 U+F31AA 995754
2715 U+F31AB 995755
2716 U+F31AC 995756
2717 U+F31AD 995757
2718 U+F31AE 995758
2719 U+F31AF 995759
2720 U+F31B0 995760
2721 U+F31B1 995761
2722 U+F31B2 995762
2723 U+F31B3 995763
2724 U+F31B4 995764
2725 U+F31B5 995765
2726 U+F31B6 995766
2727 U+F31B7 995767
2728 U+F31B8 995768
2729 U+F31B9 995769
2730 U+F31BA 995770
2731 U+F31BB 995771
2732 U+F31BC 995772
2733 U+F31BD 995773
2734 U+F31BE 995774
2735 U+F31BF 995775
2736 U+F31C0 995776
2737 U+F31C1 995777
2738 U+F31C2 995778
2739 U+F31C3 995779
2740 U+F31C4 995780
2741 U+F31C5 995781
2742 U+F31C6 995782
2743 U+F31C7 995783
2744 U+F31C8 995784
2745 U+F31C9 995785
2746 U+F31CA 995786
2747 U+F31CB 995787
2748 U+F31CC 995788
2749 U+F31CD 995789
2750 U+F31CE 995790
2751 U+F31CF 995791
2752 U+F31D0 995792
2753 U+F31D1 995793
2754 U+F31D2 995794
2755 U+F31D3 995795
2756 U+F31D4 995796
2757 U+F31D5 995797
2758 U+F31D6 995798
2759 U+F31D7 995799
2760 U+F31D8 995800
2761 U+F31D9 995801
2762 U+F31DA 995802
2763 U+F31DB 995803
2764 U+F31DC 995804
2765 U+F31DD 995805
2766 U+F31DE 995806
2767 U+F31DF 995807
2768 U+F31E0 995808
2769 U+F31E1 995809
2770 U+F31E2 995810
2771 U+F31E3 995811
2772 U+F31E4 995812
2773 U+F31E5 995813
2774 U+F31E6 995814
2775 U+F31E7 995815
2776 U+F31E8 995816
2777 U+F31E9 995817
2778 U+F31EA 995818
2779 U+F31EB 995819
2780 U+F31EC 995820
2781 U+F31ED 995821
2782 U+F31EE 995822
2783 U+F31EF 995823
2784 U+F31F0 995824
2785 U+F31F1 995825
2786 U+F31F2 995826
2787 U+F31F3 995827
2788 U+F31F4 995828
2789 U+F31F5 995829
2790 U+F31F6 995830
2791 U+F31F7 995831
2792 U+F31F8 995832
2793 U+F31F9 995833
2794 U+F31FA 995834
2795 U+F31FB 995835
2796 U+F31FC 995836
2797 U+F31FD 995837
2798 U+F31FE 995838
2799 U+F31FF 995839
2800 U+F3200 995840
2801 U+F3201 995841
2802 U+F3202 995842
2803 U+F3203 995843
2804 U+F3204 995844
2805 U+F3205 995845
2806 U+F3206 995846
2807 U+F3207 995847
2808 U+F3208 995848
2809 U+F3209 995849
2810 U+F320A 995850
2811 U+F320B 995851
2812 U+F320C 995852
2813 U+F320D 995853
2814 U+F320E 995854
2815 U+F320F 995855
2816 U+F3210 995856
2817 U+F3211 995857
2818 U+F3212 995858
2819 U+F3213 995859
2820 U+F3214 995860
2821 U+F3215 995861
2822 U+F3216 995862
2823 U+F3217 995863
2824 U+F3218 995864
2825 U+F3219 995865
2826 U+F321A 995866
2827 U+F321B 995867
2828 U+F321C 995868
2829 U+F321D 995869
2830 U+F321E 995870
2831 U+F321F 995871
2832 U+F3220 995872
2833 U+F3221 995873
2834 U+F3222 995874
2835 U+F3223 995875
2836 U+F3224 995876
2837 U+F3225 995877
2838 U+F3226 995878
2839 U+F3227 995879
2840 U+F3228 995880
2841 U+F3229 995881
2842 U+F322A 995882
2843 U+F322B 995883
2844 U+F322C 995884
2845 U+F322D 995885
2846 U+F322E 995886
2847 U+F322F 995887
2848 U+F3230 995888
2849 U+F3231 995889
2850 U+F3232 995890
2851 U+F3233 995891
2852 U+F3234 995892
2853 U+F3235 995893
2854 U+F3236 995894
2855 U+F3237 995895
2856 U+F3238 995896
2857 U+F3239 995897
2858 U+F323A 995898
2859 U+F323B 995899
2860 U+F323C 995900
2861 U+F323D 995901
2862 U+F323E 995902
2863 U+F323F 995903
2864 U+F3240 995904
2865 U+F3241 995905
2866 U+F3242 995906
2867 U+F3243 995907
2868 U+F3244 995908
2869 U+F3245 995909
2870 U+F3246 995910
2871 U+F3247 995911
2872 U+F3248 995912
2873 U+F3249 995913
2874 U+F324A 995914
2875 U+F324B 995915
2876 U+F324C 995916
2877 U+F324D 995917
2878 U+F324E 995918
2879 U+F324F 995919
2880 U+F3250 995920
2881 U+F3251 995921
2882 U+F3252 995922
2883 U+F3253 995923
2884 U+F3254 995924
2885 U+F3255 995925
2886 U+F3256 995926
2887 U+F3257 995927
2888 U+F3258 995928
2889 U+F3259 995929
2890 U+F325A 995930
2891 U+F325B 995931
2892 U+F325C 995932
2893 U+F325D 995933
2894 U+F325E 995934
2895 U+F325F 995935
2896 U+F3260 995936
2897 U+F3261 995937
2898 U+F3262 995938
2899 U+F3263 995939
2900 U+F3264 995940
2901 U+F3265 995941
2902 U+F3266 995942
2903 U+F3267 995943
2904 U+F3268 995944
2905 U+F3269 995945
2906 U+F326A 995946
2907 U+F326B 995947
2908 U+F326C 995948
2909 U+F326D 995949
2910 U+F326E 995950
2911 U+F326F 995951
2912 U+F3270 995952
2913 U+F3271 995953
2914 U+F3272 995954
2915 U+F3273 995955
2916 U+F3274 995956
2917 U+F3275 995957
2918 U+F3276 995958
2919 U+F3277 995959
2920 U+F3278 995960
2921 U+F3279 995961
2922 U+F327A 995962
2923 U+F327B 995963
2924 U+F327C 995964
2925 U+F327D 995965
2926 U+F327E 995966
2927 U+F327F 995967
2928 U+F3280 995968
2929 U+F3281 995969
2930 U+F3282 995970
2931 U+F3283 995971
2932 U+F3284 995972
2933 U+F3285 995973
2934 U+F3286 995974
2935 U+F3287 995975
2936 U+F3288 995976
2937 U+F3289 995977
2938 U+F328A 995978
2939 U+F328B 995979
2940 U+F328C 995980
2941 U+F328D 995981
2942 U+F328E 995982
2943 U+F328F 995983
2944 U+F3290 995984
2945 U+F3291 995985
2946 U+F3292 995986
2947 U+F3293 995987
2948 U+F3294 995988
2949 U+F3295 995989
2950 U+F3296 995990
2951 U+F3297 995991
2952 U+F3298 995992
2953 U+F3299 995993
2954 U+F329A 995994
2955 U+F329B 995995
2956 U+F329C 995996
2957 U+F329D 995997
2958 U+F329E 995998
2959 U+F329F 995999
2960 U+F32A0 996000
2961 U+F32A1 996001
2962 U+F32A2 996002
2963 U+F32A3 996003
2964 U+F32A4 996004
2965 U+F32A5 996005
2966 U+F32A6 996006
2967 U+F32A7 996007
2968 U+F32A8 996008
2969 U+F32A9 996009
2970 U+F32AA 996010
2971 U+F32AB 996011
2972 U+F32AC 996012
2973 U+F32AD 996013
2974 U+F32AE 996014
2975 U+F32AF 996015
2976 U+F32B0 996016
2977 U+F32B1 996017
2978 U+F32B2 996018
2979 U+F32B3 996019
2980 U+F32B4 996020
2981 U+F32B5 996021
2982 U+F32B6 996022
2983 U+F32B7 996023
2984 U+F32B8 996024
2985 U+F32B9 996025
2986 U+F32BA 996026
2987 U+F32BB 996027
2988 U+F32BC 996028
2989 U+F32BD 996029
2990 U+F32BE 996030
2991 U+F32BF 996031
2992 U+F32C0 996032
2993 U+F32C1 996033
2994 U+F32C2 996034
2995 U+F32C3 996035
2996 U+F32C4 996036
2997 U+F32C5 996037
2998 U+F32C6 996038
2999 U+F32C7 996039
3000 U+F32C8 996040
3001 U+F32C9 996041
3002 U+F32CA 996042
3003 U+F32CB 996043
3004 U+F32CC 996044
3005 U+F32CD 996045
3006 U+F32CE 996046
3007 U+F32CF 996047
3008 U+F32D0 996048
3009 U+F32D1 996049
3010 U+F32D2 996050
3011 U+F32D3 996051
3012 U+F32D4 996052
3013 U+F32D5 996053
3014 U+F32D6 996054
3015 U+F32D7 996055
3016 U+F32D8 996056
3017 U+F32D9 996057
3018 U+F32DA 996058
3019 U+F32DB 996059
3020 U+F32DC 996060
3021 U+F32DD 996061
3022 U+F32DE 996062
3023 U+F32DF 996063
3024 U+F32E0 996064
3025 U+F32E1 996065
3026 U+F32E2 996066
3027 U+F32E3 996067
3028 U+F32E4 996068
3029 U+F32E5 996069
3030 U+F32E6 996070
3031 U+F32E7 996071
3032 U+F32E8 996072
3033 U+F32E9 996073
3034 U+F32EA 996074
3035 U+F32EB 996075
3036 U+F32EC 996076
3037 U+F32ED 996077
3038 U+F32EE 996078
3039 U+F32EF 996079
3040 U+F32F0 996080
3041 U+F32F1 996081
3042 U+F32F2 996082
3043 U+F32F3 996083
3044 U+F32F4 996084
3045 U+F32F5 996085
3046 U+F32F6 996086
3047 U+F32F7 996087
3048 U+F32F8 996088
3049 U+F32F9 996089
3050 U+F32FA 996090
3051 U+F32FB 996091
3052 U+F32FC 996092
3053 U+F32FD 996093
3054 U+F32FE 996094
3055 U+F32FF 996095
3056 U+F3300 996096
3057 U+F3301 996097
3058 U+F3302 996098
3059 U+F3303 996099
3060 U+F3304 996100
3061 U+F3305 996101
3062 U+F3306 996102
3063 U+F3307 996103
3064 U+F3308 996104
3065 U+F3309 996105
3066 U+F330A 996106
3067 U+F330B 996107
3068 U+F330C 996108
3069 U+F330D 996109
3070 U+F330E 996110
3071 U+F330F 996111
3072 U+F3310 996112
3073 U+F3311 996113
3074 U+F3312 996114
3075 U+F3313 996115
3076 U+F3314 996116
3077 U+F3315 996117
3078 U+F3316 996118
3079 U+F3317 996119
3080 U+F3318 996120
3081 U+F3319 996121
3082 U+F331A 996122
3083 U+F331B 996123
3084 U+F331C 996124
3085 U+F331D 996125
3086 U+F331E 996126
3087 U+F331F 996127
3088 U+F3320 996128
3089 U+F3321 996129
3090 U+F3322 996130
3091 U+F3323 996131
3092 U+F3324 996132
3093 U+F3325 996133
3094 U+F3326 996134
3095 U+F3327 996135
3096 U+F3328 996136
3097 U+F3329 996137
3098 U+F332A 996138
3099 U+F332B 996139
3100 U+F332C 996140
3101 U+F332D 996141
3102 U+F332E 996142
3103 U+F332F 996143
3104 U+F3330 996144
3105 U+F3331 996145
3106 U+F3332 996146
3107 U+F3333 996147
3108 U+F3334 996148
3109 U+F3335 996149
3110 U+F3336 996150
3111 U+F3337 996151
3112 U+F3338 996152
3113 U+F3339 996153
3114 U+F333A 996154
3115 U+F333B 996155
3116 U+F333C 996156
3117 U+F333D 996157
3118 U+F333E 996158
3119 U+F333F 996159
3120 U+F3340 996160
3121 U+F3341 996161
3122 U+F3342 996162
3123 U+F3343 996163
3124 U+F3344 996164
3125 U+F3345 996165
3126 U+F3346 996166
3127 U+F3347 996167
3128 U+F3348 996168
3129 U+F3349 996169
3130 U+F334A 996170
3131 U+F334B 996171
3132 U+F334C 996172
3133 U+F334D 996173
3134 U+F334E 996174
3135 U+F334F 996175
3136 U+F3350 996176
3137 U+F3351 996177
3138 U+F3352 996178
3139 U+F3353 996179
3140 U+F3354 996180
3141 U+F3355 996181
3142 U+F3356 996182
3143 U+F3357 996183
3144 U+F3358 996184
3145 U+F3359 996185
3146 U+F335A 996186
3147 U+F335B 996187
3148 U+F335C 996188
3149 U+F335D 996189
3150 U+F335E 996190
3151 U+F335F 996191
3152 U+F3360 996192
3153 U+F3361 996193
3154 U+F3362 996194
3155 U+F3363 996195
3156 U+F3364 996196
3157 U+F3365 996197
3158 U+F3366 996198
3159 U+F3367 996199
3160 U+F3368 996200
3161 U+F3369 996201
3162 U+F336A 996202
3163 U+F336B 996203
3164 U+F336C 996204
3165 U+F336D 996205
3166 U+F336E 996206
3167 U+F336F 996207
3168 U+F3370 996208
3169 U+F3371 996209
3170 U+F3372 996210
3171 U+F3373 996211
3172 U+F3374 996212
3173 U+F3375 996213
3174 U+F3376 996214
3175 U+F3377 996215
3176 U+F3378 996216
3177 U+F3379 996217
3178 U+F337A 996218
3179 U+F337B 996219
3180 U+F337C 996220
3181 U+F337D 996221
3182 U+F337E 996222
3183 U+F337F 996223
3184 U+F3380 996224
3185 U+F3381 996225
3186 U+F3382 996226
3187 U+F3383 996227
3188 U+F3384 996228
3189 U+F3385 996229
3190 U+F3386 996230
3191 U+F3387 996231
3192 U+F3388 996232
3193 U+F3389 996233
3194 U+F338A 996234
3195 U+F338B 996235
3196 U+F338C 996236
3197 U+F338D 996237
3198 U+F338E 996238
3199 U+F338F 996239
3200 U+F3390 996240
3201 U+F3391 996241
3202 U+F3392 996242
3203 U+F3393 996243
3204 U+F3394 996244
3205 U+F3395 996245
3206 U+F3396 996246
3207 U+F3397 996247
3208 U+F3398 996248
3209 U+F3399 996249
3210 U+F339A 996250
3211 U+F339B 996251
3212 U+F339C 996252
3213 U+F339D 996253
3214 U+F339E 996254
3215 U+F339F 996255
3216 U+F33A0 996256
3217 U+F33A1 996257
3218 U+F33A2 996258
3219 U+F33A3 996259
3220 U+F33A4 996260
3221 U+F33A5 996261
3222 U+F33A6 996262
3223 U+F33A7 996263
3224 U+F33A8 996264
3225 U+F33A9 996265
3226 U+F33AA 996266
3227 U+F33AB 996267
3228 U+F33AC 996268
3229 U+F33AD 996269
3230 U+F33AE 996270
3231 U+F33AF 996271
3232 U+F33B0 996272
3233 U+F33B1 996273
3234 U+F33B2 996274
3235 U+F33B3 996275
3236 U+F33B4 996276
3237 U+F33B5 996277
3238 U+F33B6 996278
3239 U+F33B7 996279
3240 U+F33B8 996280
3241 U+F33B9 996281
3242 U+F33BA 996282
3243 U+F33BB 996283
3244 U+F33BC 996284
3245 U+F33BD 996285
3246 U+F33BE 996286
3247 U+F33BF 996287
3248 U+F33C0 996288
3249 U+F33C1 996289
3250 U+F33C2 996290
3251 U+F33C3 996291
3252 U+F33C4 996292
3253 U+F33C5 996293
3254 U+F33C6 996294
3255 U+F33C7 996295
3256 U+F33C8 996296
3257 U+F33C9 996297
3258 U+F33CA 996298
3259 U+F33CB 996299
3260 U+F33CC 996300
3261 U+F33CD 996301
3262 U+F33CE 996302
3263 U+F33CF 996303
3264 U+F33D0 996304
3265 U+F33D1 996305
3266 U+F33D2 996306
3267 U+F33D3 996307
3268 U+F33D4 996308
3269 U+F33D5 996309
3270 U+F33D6 996310
3271 U+F33D7 996311
3272 U+F33D8 996312
3273 U+F33D9 996313
3274 U+F33DA 996314
3275 U+F33DB 996315
3276 U+F33DC 996316
3277 U+F33DD 996317
3278 U+F33DE 996318
3279 U+F33DF 996319
3280 U+F33E0 996320
3281 U+F33E1 996321
3282 U+F33E2 996322
3283 U+F33E3 996323
3284 U+F33E4 996324
3285 U+F33E5 996325
3286 U+F33E6 996326
3287 U+F33E7 996327
3288 U+F33E8 996328
3289 U+F33E9 996329
3290 U+F33EA 996330
3291 U+F33EB 996331
3292 U+F33EC 996332
3293 U+F33ED 996333
3294 U+F33EE 996334
3295 U+F33EF 996335
3296 U+F33F0 996336
3297 U+F33F1 996337
3298 U+F33F2 996338
3299 U+F33F3 996339
3300 U+F33F4 996340
3301 U+F33F5 996341
3302 U+F33F6 996342
3303 U+F33F7 996343
3304 U+F33F8 996344
3305 U+F33F9 996345
3306 U+F33FA 996346
3307 U+F33FB 996347
3308 U+F33FC 996348
3309 U+F33FD 996349
3310 U+F33FE 996350
3311 U+F33FF 996351
3312 U+F3400 996352
