序号,彝文,中文,英文
2268,󲿫,重字,重字
2269,󲿬,坍塌,坍塌
2270,󲿭,铃,铃
2271,󲿮,融化,融化
2272,󲿯,1、（（门）楣）（就是正门上方门框上部的横梁，一般都是粗重实木制就）；2、（过分）；,"1. ( (门) 楣)(就是正门上square, direction门框上部的横梁, one般都是粗重实wood制就) ; 2. (过分) ; "
2273,󲿰,（傣族（摆夷））,(傣族 (摆夷) )
2274,󲿱,拾、捡,"拾, 捡"
2275,󲿲,（脊）背,(脊) 背
2276,󲿳,收缩,收缩
2277,󲿴,（口）味,(口) 味
2278,󲿵,（群众、百姓）,"（群众, hundred姓）"
2279,󲿶,收缩,收缩
2280,󲿷,拉,拉
2281,󲿸,剩,剩
2282,󲿹,1、渣；2、（糊状）；3、（不清洁，不干净，不卫生）；,"1. dregs, residue; 2. (糊状) ; 3, (不clean, sanitary, 不dry净, 不卫生) ; "
2283,󲿺,绊,"trip, stumble"
2284,󲿻,返、回,"返, 回"
2285,󲿼,蒙（鼓）（动词）,蒙(鼓)  (动词)
2286,󲿽,（手）掌,(hand) 掌
2287,󲿾,1、毕（摩）；2、（毕摩祭祖灵）；3、（毕主哪慕格，彝族先民传说为比方的部族首领）；4、念诵；5、（崩遮博，山名，在云南新平、元江三县之间）；,"1. 毕(摩) ; 2. (毕摩祭祖灵) ; 3, (毕主哪慕格, 彝族先民传说为比square, direction的部族首领) ; 4, 念诵; 5, (崩遮博, 山名, 在云南新平, 元江three县之间) ; "
2288,󲿿,（嘴）唇,(嘴) 唇
2289,󳀀,（背篓）,（背篓）
2290,󳀁,肿,肿
2291,󳀂,1、（牛（斗架；2、（象声词（公羊追逐母羊发出的声音）；,"1. (cow, ox（斗架; 2. （onomatopoeia（公羊追逐母羊发出的声音) ; "
2292,󳀃,（猫头鹰）,（猫头eagle）
2293,󳀄,（你、我、他）的,"(你, 我, 他) 的"
2294,󳀅,左,左
2295,󳀆,1（束手无策、没有办法）；2、封；,"1(束hand无策, 没有办法) ; 2, 封; "
2296,󳀇,模仿、效仿,"模仿, 效仿"
2297,󳀈,（大蒜）,"（big, large蒜）"
2298,󳀉,（窝）,（窝）
2299,󳀊,叠、摞（luo）,"叠, 摞 (luo)"
2300,󳀋,1、脓包；2、（凝结、凝固）；,"1. 脓pack, wrap; 2. (凝结, 凝固) ; "
2301,󳀌,1、他、她、它；2、其；2、其（其实、其中）；3、那（那一天）；,"1. 他, 她, 它; 2. 其; 2, 其(其实, 其中) ; 3, 那(那onesky, heaven) ; "
2302,󳀍,融、细（末）,"融, 细 (powder, end)"
2303,󳀎,1、洞；2、坑；,1. 洞; 2. 坑; 
2304,󳀏,（健壮）,（健壮）
2305,󳀐,弩,弩
2306,󳀑,（脚后跟）,（脚后follow）
2307,󳀒,（鲁朵（1、卦名，指《八卦》中的震、巽（xun）二卦；2、远古部族名，（这个部族首先把野兽驯化成家畜）；3、传说中的山精；4、凶煞神；）；,"(鲁朵 (1. 卦名, point, indicate《eight卦》中的震, 巽（xun) two卦; 2. 远古部族名, (这个部族首先把野兽驯化成家畜) ; 3, 传说中的山精; 4, 凶煞神; ); "
2308,󳀓,船,船
2309,󳀔,烙（老）（穿）,"烙(老)  (pierce, penetrate)"
2310,󳀕,烧（燃料）,烧 (燃料)
2311,󳀖,两（量词）,两 (量词)
2312,󳀗,枣红色,枣红color
2313,󳀘,姜,姜
2314,󳀙,野鸡,野鸡
2315,󳀚,掰,掰
2316,󳀛,坛,坛
2317,󳀜,烦（闷）,烦 (闷)
2318,󳀝,凹,concave
2319,󳀞,天上（古语）,"sky, heaven上 (ancient saying)"
2320,󳀟,粘、贴,"粘, 贴"
2321,󳀠,（戒指）,"（戒point, indicate）"
2322,󳀡,（语气助词）,（modal particle）
2323,󳀢,（树）枝,(树) 枝
2324,󳀣,罩,罩
2325,󳀤,弯（曲）,弯 (曲)
2326,󳀥,1、（很顽强）；2、（能沽，彝语指成都）；,"1. (很顽强) ; 2. (能沽, 彝语point, indicate成都) ; "
2327,󳀦,立（春）,立 (春)
2328,󳀧,（头）颅,(头) 颅
2329,󳀨,（粥）,（粥）
2330,󳀩,1、（花）朵；2、朵（量词）；,1. (花) 朵; 2. 朵(量词) ; 
2331,󳀪,诉（说）,诉 (说)
2332,󳀫,（云南）,（云南）
2333,󳀬,1、礼仪；2、制度；,"1. 礼仪; 2. system, institution; "
2334,󳀭,1、爵禄；2、碑刻；,1. 爵禄; 2. 碑刻; 
2335,󳀮,方法、办法、措施,"square, direction法, 办法, 措施"
2336,󳀯,糊涂,"糊apply, smear"
2337,󳀰,穿（针，东西）,"pierce, penetrate (针, 东西)"
2338,󳀱,拱（猪拱地）,"拱 (猪拱place, location)"
2339,󳀲,（1、规整；2、严实；）,（1. 规整; 2. 严实; ）
2340,󳀳,（沙子、砂子）,"（沙子, 砂子）"
2341,󳀴,（木姜）,（wood姜）
2342,󳀵,1、左方；侍从,"1, 左square, direction; 侍从"
2343,󳀶,段、截（量词）,"段, 截 (量词)"
2344,󳀷,（高粱）,（高粱）
2345,󳀸,融（煮融）,融 (煮融)
2346,󳀹,容器,容器
2347,󳀺,（醋）,（醋）
2348,󳀻,1、记号；3、（黑痣）；,"1, 记号; 3, (黑痣) ; "
2349,󳀼,舒服、好过,"舒服, 好过"
2350,󳀽,（招待）,（招待）
2351,󳀾,（牵幼儿学走路用语、意思时“行啊”）,"（牵young儿学走路用语, 意思时“行啊”）"
2352,󳀿,传递,"pass, transmit"
2353,󳁀,现（呈现）,现 (呈现)
2354,󳁁,相对,相对
2355,󳁂,（黄果）,（黄果）
2356,󳁃,1、（形容词缀）；2、得（副词）；,1. (形容词缀) ; 2. 得(副词) ; 
2357,󳁄,吞、咽,"吞, 咽"
2358,󳁅,（小孩子）怕,(小孩子) 怕
2359,󳁆,1、嫩；2、软；,1. 嫩; 2. 软; 
2360,󳁇,（耳环）,（耳环）
2361,󳁈,（米）仁,(米) 仁
2362,󳁉,（阴茎）,（阴茎）
2363,󳁊,（齐根部）割,"(齐根部) cut, reap"
2364,󳁋,（山乍鸟）,（山乍鸟）
2365,󳁌,脏,脏
2366,󳁍,离开,"离drive, operate"
2367,󳁎,炖,炖
2368,󳁏,浅蓝色,浅蓝color
2369,󳁐,（形容词缀）,（形容词缀）
2370,󳁑,（口弦）,（口弦）
2371,󳁒,1、筋、脉；2、（水沟）；,"1. 筋, 脉; 2. (水沟) ; "
2372,󳁓,（北斗星）,（北斗star）
2373,󳁔,（疡（yang）子，疮、溃烂）,"(疡 (yang) 子, 疮, 溃烂)"
2374,󳁕,还、又、再,"还, 又, 再"
2375,󳁖,承诺、许诺,"承诺, 许诺"
2376,󳁗,1、数（动词）；2、读、念）；,"1. 数(动词) ; 2. 读, 念）; "
2377,󳁘,脚（抽）、转筋；,"脚(抽) , 转筋; "
2378,󳁙,1、硬；2、狠；3、难；4、（结实）；,"1. 硬; 2. 狠; 3, 难; 4, (结实) ; "
2379,󳁚,校（正）,校 (正)
2380,󳁛,床（量词）（一张、床被子）,"床(量词)  (one张, 床被子)"
2381,󳁜,哎（叹词）,哎 (叹词)
2382,󳁝,（清明（节日））,(清明 (节日) )
2383,󳁞,捂,捂
2384,󳁟,（太阳）,（太阳）
2385,󳁠,1、见；2、（知识）；3、（1、依靠、仰仗；2、重视、瞧得起；）；4、（美姑县）；,"1. 见; 2. (知识) ; 3, (1. 依lean, depend on, 仰仗; 2. 重视, 瞧得rise, get up; ) ; 4, (美姑县) ; "
2386,󳁡,（单眼皮）,"（single, aloneeye皮）"
2387,󳁢,（灰尘）,"（ash, gray尘）"
2388,󳁣,（背皮（背物套在额头上得皮带）,"（背皮 (背object, thing套在forehead上得皮带)"
2389,󳁤,1、别（处）；2、另；3、（另外）；,"1. 别(处) ; 2. 另; 3, (另外) ; "
2390,󳁥,（月琴）,（月琴）
2391,󳁦,旁边,"旁edge, side"
2392,󳁧,毛,"hair, wool"
2393,󳁨,细毛,"细hair, wool"
2394,󳁩,魔（病魔）,魔 (病魔)
2395,󳁪,模样,模样
2396,󳁫,（饭盆）,（饭盆）
2397,󳁬,1、地（古语）；2、（土块）；3、（实楚、彝族先民最早出现的一位毕摩）；,"1. place, location(ancient saying) ; 2. (土块) ; 3, (实楚, 彝族先民最早出现的one位毕摩) ; "
2398,󳁭,1、（太阳）；2、（耳语）；,1. (太阳) ; 2. (耳语) ; 
2399,󳁮,（盐）臼,(盐) 臼
2400,󳁯,丰富,丰富
2401,󳁰,（人）躲,"(person, people) 躲"
2402,󳁱,积（灰尘）,"积 (ash, gray尘)"
2403,󳁲,赶，吆（猪、马）,"赶, 吆 (猪, horse)"
2404,󳁳,1、破烂；2、（槟榔）；3、（弯钩）；,"1. 破烂; 2. (槟榔) ; 3, (弯钩) ; "
2405,󳁴,蘸,蘸
2406,󳁵,1、脸；2、方；3、形；,"1. 脸; 2. square, direction; 3, 形; "
2407,󳁶,（把物体往前）推进,"(把object, thing体往前) 推进"
2408,󳁷,驼,驼
2409,󳁸,1、栖息；2、（（群鸦）乱叫（彝族民间认为这是凶兆））；,1. 栖息; 2. ( (群鸦) 乱叫(彝族民间认为这是凶兆) ); 
2410,󳁹,1、施政、发布（政令）；2、（指示）；,"1. 施政, 发布(政令) ; 2. (point, indicate示) ; "
2411,󳁺,跟,follow
2412,󳁻,（脾气）,（脾气）
2413,󳁼,（鸟）巢、窝,"(鸟) 巢, 窝"
2414,󳁽,饭,饭
2415,󳁾,破烂,破烂
2416,󳁿,（象声词）,（onomatopoeia）
2417,󳂀,（远）祖,(远) 祖
2418,󳂁,（悲恸）,（悲恸）
2419,󳂂,1、渡（船）、划（船）；2、游（泳）；3、（阿庚阿外，（人名，汉文古籍中记作阿佩，《唐书》“文宗开成元年封作罗甸王））；,"1. 渡(船) , 划(船) ; 2. 游(泳) ; 3, (阿庚阿外,  (person, people名, 汉文古籍中记作阿佩, 《唐书》“文宗drive, operate成元年封作罗甸king) ); "
2420,󳂃,（词头（脸））,(词头 (脸) )
2421,󳂄,1、亲（疏）；2、亲（戚）；,1. 亲(疏) ; 2. 亲(戚) ; 
2422,󳂅,1、荞；2、（个旧，彝语称个旧）；,"1. 荞; 2. (个旧, 彝语称个旧) ; "
2423,󳂆,撬,撬
2424,󳂇,（灯盏）,（灯盏）
2425,󳂈,吉利,吉利
2426,󳂉,1、刁难；2、诡辩；,1. 刁难; 2. 诡辩; 
2427,󳂊,碗,碗
2428,󳂋,1、（图影、属相）；2、（鄂莫，古彝人的一个部落）；,"1. (图影, 属相) ; 2. (鄂莫, 古彝person, people的one个部fall, drop) ; "
2429,󳂌,泡沫,泡沫
2430,󳂍,戏,戏
2431,󳂎,(可爱）,(可爱）
2432,󳂏,1、粮食；2、庄稼；,1. 粮食; 2. crops; 
2433,󳂐,1、编（动词）；2、辫（子）；3、（形容编织粗糙）；,"1. 编(动词) ; 2. 辫(子) ; 3, (形容编织粗糙) ; "
2434,󳂑,（猫，古语）,"（猫, ancient saying）"
2435,󳂒,绘,绘
2436,󳂓,画眉（鸟）,画眉 (鸟)
2437,󳂔,（灰叶菜）,"（ash, gray叶菜）"
2438,󳂕,（能吃）,（能吃）
2439,󳂖,（（小声）抽泣）,( (小声) 抽泣)
2440,󳂗,1、遮挡；2、挡,1. 遮挡; 2. 挡
2441,󳂘,（藤子）,（藤子）
2442,󳂙,1、新；2、辛（天干第八位）；,1. 新; 2. 辛(heavenly stem第eight位) ; 
2443,󳂚,（蝼蛄[lóu gū] ）,（蝼蛄[lóu gū] ）
2444,󳂛,喂,喂
2445,󳂜,将要,将要
2446,󳂝,付（量词）,付 (量词)
2447,󳂞,砧板（菜墩）,砧板 (菜墩)
2448,󳂟,癞,癞
2449,󳂠,丑陋,丑陋
2450,󳂡,丝（线）,"丝 (thread, line)"
2451,󳂢,（吹捧、奉承）,"（吹捧, 奉承）"
2452,󳂣,欺辱、欺负,"欺辱, 欺负"
2453,󳂤,蒸（饭）,蒸 (饭)
2454,󳂥,揍,揍
2455,󳂦,分（櫱（niè））,分(櫱 (niè) )
2456,󳂧,（家谱）,（家谱）
2457,󳂨,（火药）,（fire药）
2458,󳂩,1、顿、放置；2、停放；,"1. 顿, 放置; 2. 停放; "
2459,󳂪,鼓（眼）,鼓 (eye)
2460,󳂫,祭（祖）,祭 (祖)
2461,󳂬,（坟墓）,（坟墓）
2462,󳂭,分养（母畜）,分养 (母畜)
2463,󳂮,1、煨（wei）；2、热（动词）；,1. 煨(wei) ; 2. 热(动词) ; 
2464,󳂯,1、疥疮；2、（水痘）；,1. 疥疮; 2. (水痘) ; 
2465,󳂰,索,索
2466,󳂱,1、处（量词）；2、（这）里；3、（哪）里；,"1. 处(量词) ; 2. (这) 里; 3, (哪) 里; "
2467,󳂲,（蜥蜴）,（蜥蜴）
2468,󳂳,遗传,遗传
2469,󳂴,（马）鞍,(horse) 鞍
2470,󳂵,按（摩）,按 (摩)
2471,󳂶,（化脓）,（化脓）
2472,󳂷,1、（方法）；2、（旁边）；,"1. (square, direction法) ; 2. (旁edge, side) ; "
2473,󳂸,洁净、干净,"洁净, dry净"
2474,󳂹,照、映,"照, 映"
2475,󳂺,1、（白酒、烧酒）；2、（纪俄格，古乌撒地方政权的彝称）；,"1. (白wine, alcohol, 烧wine, alcohol) ; 2. (纪俄格, 古乌撒place, locationsquare, direction政权的彝称) ; "
2476,󳂻,笨拙,笨拙
2477,󳂼,浮肿、水肿,"浮肿, 水肿"
2478,󳂽,碎步,碎步
2479,󳂾,（铜帽）,（铜帽）
2480,󳂿,1、（产）生；2、癸（天干第十位）；3、（后面、后边）；,"1. (产) 生; 2. 癸(heavenly stem第ten位) ; 3, (后face, surface, 后edge, side) ; "
2481,󳃀,（骨）髓,(骨) 髓
2482,󳃁,1、草墩；2、圈（量词），读，ʨ‘ye；,"1. grass墩; 2. 圈(量词) , 读, ʨ‘ye; "
2483,󳃂,1、死；2、死亡；3、灭亡；4、认输；,"1. 死; 2. 死亡; 3, 灭亡; 4, 认输; "
2484,󳃃,杯（子）,杯 (子)
2485,󳃄,1、弯；2、（古糯，彝语指贵阳）；,"1. 弯; 2. (古糯, 彝语point, indicate贵阳) ; "
2486,󳃅,掰、扳（开）,"掰, 扳 (drive, operate)"
2487,󳃆,（山）顶、（树）梢,"(山) top, support, (树) 梢"
2488,󳃇,父（母）、（阴）阳、男（女）,"父(母) , (阴) 阳, 男 (女)"
2489,󳃈,磨（动词、磨面、磨豆腐）,"磨 (动词, 磨face, surface, 磨豆腐)"
2490,󳃉,痴呆,痴呆
2491,󳃊,方、面,"square, direction, face, surface"
2492,󳃋,衣裳,衣裳
2493,󳃌,平静,平静
2494,󳃍,肉,肉
2495,󳃎,1、（谜语）；2、猜测，推测；,"1. (谜语) ; 2. 猜测, 推测; "
2496,󳃏,1、起始；2、兴起；,"1. rise, get up始; 2. 兴rise, get up; "
2497,󳃐,（操作）,（操作）
2498,󳃑,（（传说中的）水怪）,( (传说中的) 水怪)
2499,󳃒,（火坑）,（fire坑）
2500,󳃓,1、年；2、岁；,1. 年; 2. 岁; 
2501,󳃔,史,史
2502,󳃕,擤（xing）（鼻涕）,擤(xing)  (鼻涕)
2503,󳃖,梭动、移动,"梭动, 移动"
2504,󳃗,野牛,"野cow, ox"
2505,󳃘,（葫芦）,（葫芦）
2506,󳃙,（天麻）,"（sky, heavenhemp, numb）"
2507,󳃚,起（皮）,"rise, get up (皮)"
2508,󳃛,（动物）油,"(动object, thing) 油"
2509,󳃜,1、凶恶（专指兽类）；2、（无中生有）；2、（疔毒）；,"1. 凶恶(专point, indicate兽class) ; 2. (无中生有) ; 2, (疔毒) ; "
2510,󳃝,舍得,舍得
2511,󳃞,（刀）叶,(刀) 叶
2512,󳃟,同意,同意
2513,󳃠,伸（脚、手）,"伸 (脚, hand)"
2514,󳃡,李（子）,李 (子)
2515,󳃢,（形容嚼食动词）,（形容嚼食动词）
2516,󳃣,吧（语气助词）,吧 (modal particle)
2517,󳃤,盖（使动）,盖 (使动)
2518,󳃥,浓稠,浓稠
2519,󳃦,1、腹；2、（受贿）；3、（怀孕）；,"1. 腹; 2. (受贿) ; 3, (怀孕) ; "
2520,󳃧,刺猬,刺猬
2521,󳃨,耢（lào）（地）,"耢(lào)  (place, location)"
2522,󳃩,尊敬,尊敬
2523,󳃪,1、呀（语气助词）；2、（1、稍微；2、一下）；,"1. 呀(modal particle) ; 2. (1. 稍微; 2. onedescend, go down) ; "
2524,󳃫,（非正常死亡）,（非正常死亡）
2525,󳃬,1、集中；2、（列席、到会）；3、（相会）；,"1. 集中; 2. (列席, 到会) ; 3, (相会) ; "
2526,󳃭,操纵、统管,"操纵, 统tube, pipe"
2527,󳃮,1、（乱说）；2、（话多）；,1. (乱说) ; 2. (话多) ; 
2528,󳃯,1、咬；2、咬（使动）；,1. 咬; 2. 咬(使动) ; 
2529,󳃰,微弯,微弯
2530,󳃱,隔（动词）,隔 (动词)
2531,󳃲,（荨（qian）麻）,"(荨 (qian) hemp, numb)"
2532,󳃳,（窥探）,（窥探）
2533,󳃴,租,租
2534,󳃵,（强调）,（强调）
2535,󳃶,（黏糊糊）,（黏糊糊）
2536,󳃷,完（事做完了没有？）,完 (事做完了没有?)
2537,󳃸,（臭味）,（臭味）
2538,󳃹,（形容词缀）累累,(形容词缀) 累累
2539,󳃺,荒（芜）,荒 (芜)
2540,󳃻,（一会儿 ）,（one会儿 ）
2541,󳃼,（稀烂）,（稀烂）
2542,󳃽,（宇宙）,（universe）
2543,󳃾,1、（叹词）；2、（武德木，人名，古彝族人部落首领）；2、（敌博火液，彝语指大渡河）；,"1. (叹词) ; 2. (武德wood, person, people名, 古彝族person, people部fall, drop首领) ; 2, (敌博fire液, 彝语point, indicatebig, large渡河) ; "
2544,󳃿,泡（形容词）,泡 (形容词)
2545,󳄀,（小的）（畜生）圈,(小的)  (畜生)圈
2546,󳄁,（青幽幽）,（青幽幽）
2547,󳄂,竹,竹
2548,󳄃,肠,肠
2549,󳄄,盐巴,盐巴
2550,󳄅,（砂锅）,（砂锅）
2551,󳄆,（菜刀）,（菜刀）
2552,󳄇,1、大；2、（哪吞落姆，古代名城，今在昆明晋宁境内）；,"1. big, large; 2. (哪吞fall, drop姆, 古代名城, 今在昆明晋宁境内) ; "
2553,󳄈,贪婪,贪婪
2554,󳄉,你,你
2555,󳄊,1、蛋；2、生（蛋）,1. 蛋; 2. 生 (蛋)
2556,󳄋,（小饼）,（小饼）
2557,󳄌,（诽谤）,（诽谤）
2558,󳄍,舌头,tongue头
2559,󳄎,裤子,裤子
2560,󳄏,1、炒；2、煎；,1. 炒; 2. 煎; 
2561,󳄐,（怀）孕（古语）,(怀) 孕 (ancient saying)
2562,󳄑,1、（玩耍）；2、（铃铛）；,"1. (playplay, fool around) ; 2. (铃铛) ; "
2563,󳄒,惟恐、害怕,"惟恐, 害怕"
2564,󳄓,1、宇宙；2、（妥鲁博）；,1. universe; 2. (妥鲁博) ; 
2565,󳄔,白,白
2566,󳄕,口吃、结巴,"口吃, 结巴"
2567,󳄖,1、锁（名词）；2、锁（动词）；,1. 锁(名词) ; 2. 锁(动词) ; 
2568,󳄗,锣,锣
2569,󳄘,茄（子）,茄 (子)
2570,󳄙,1、伤害；2、（形容词缀（懒洋洋））；,1. 伤害; 2. (形容词缀 (懒洋洋) ); 
2571,󳄚,（臭虫）,（臭虫）
2572,󳄛,（1、（埋怨）；2、（诉苦））,"(1.  (complain, blame) ; 2. (诉苦) )"
2573,󳄜,1、池、海、湖；2、（地名、人名用词）；,"1. 池, 海, 湖; 2. (place name, person, people名用词) ; "
2574,󳄝,1、月（名词）（月亮）；2、月（量词）；,1. 月(名词)  (月亮); 2. 月(量词) ; 
2575,󳄞,洋,洋
2576,󳄟,掏,掏
2577,󳄠,（管、筒）,"（tube, pipe, tube, cylinder）"
2578,󳄡,煎炸,煎炸
2579,󳄢,（蚕豆）,（蚕豆）
2580,󳄣,（清楚、明白）,"（清楚, 明白）"
2581,󳄤,发现,发现
2582,󳄥,1、拖；2、（腰包、衣兜）；3、（韧绵（形容食物不易嚼烂））；,"1. 拖; 2. (腰pack, wrap, 衣兜) ; 3, (韧绵 (形容食object, thing不易嚼烂) ); "
2583,󳄦,（攀枝花）,"（climb, scale枝花）"
2584,󳄧,（畜生的）乳房,(畜生的) 乳房
2585,󳄨,（洋）芋、马铃薯,"(洋) 芋, horse铃薯"
2586,󳄩,太阳,太阳
2587,󳄪,1、偶像；2、菩萨；,"1. 偶like, similar; 2. 菩萨; "
2588,󳄫,（粗）磨,(粗) 磨
2589,󳄬,开（自动）,"drive, operate (自动)"
2590,󳄭,钻（进）,"drill, bore (进)"
2591,󳄮,（弥觉（传说中的水怪）,（弥觉 (传说中的水怪)
2592,󳄯,细小、细微,"细小, 细微"
2593,󳄰,（水瓢）,（水瓢）
2594,󳄱,壶,壶
2595,󳄲,（桃子）,（桃子）
2596,󳄳,簇拥,"cluster, bunch拥"
2597,󳄴,储备,储备
2598,󳄵,争夺,"compete, fight for"
2599,󳄶,插（使动）,插 (使动)
2600,󳄷,绒,绒
2601,󳄸,（云雀）,（云雀）
2602,󳄹,差遣、派遣,"差遣, 派遣"
2603,󳄺,（草莓）,（grass莓）
2604,󳄻,（腼腆）,（腼腆）
2605,󳄼,凿（子）,凿 (子)
2606,󳄽,劈,劈
2607,󳄾,1、学；2、明；,1. 学; 2. 明; 
2608,󳄿,（（1）乾坤；（2）宇宙空间的上下；）,"( (1) heaven and earth; (2) universespace的上descend, go down; )"
2609,󳅀,生（疮）、长（瘤子）,"生(疮) , 长 (瘤子)"
2610,󳅁,那,那
2611,󳅂,眼,eye
2612,󳅃,1、肥；2、（肥肉）；,1. 肥; 2. (肥肉) ; 
2613,󳅄,（石榴）,（石榴）
2614,󳅅,块（量词）,块 (量词)
2615,󳅆,1、猴；2、申（地支第九位）；,"1. 猴; 2. 申(place, location支第nine位) ; "
2616,󳅇,（睾丸）,（睾丸）
2617,󳅈,沟渠,沟渠
2618,󳅉,口袋,口袋
2619,󳅊,足够、够,"足够, 够"
2620,󳅋,囫囵,囫囵
2621,󳅌,蹬,蹬
2622,󳅍,丈（长度）,丈 (长度)
2623,󳅎,（时）候,(时) 候
2624,󳅏,半（夜、路）,"半 (夜, 路)"
2625,󳅐,钓（鱼）,钓 (鱼)
2626,󳅑,件（量词）,件 (量词)
2627,󳅒,（毕摩的）法铃,(毕摩的) 法铃
2628,󳅓,1、筷子；2、（重叠词缀）；,1. 筷子; 2. (overlapping词缀) ; 
2629,󳅔,柳,柳
2630,󳅕,（摩史，（彝族中宣诵、讲文史、善歌善舞的歌师）,"（摩史,  (彝族中宣诵, 讲文史, 善歌善舞的歌师)"
2631,󳅖,（打柴、拾柴）,"（打柴, 拾柴）"
2632,󳅗,（纽襻（扣住纽扣的套儿））,(纽襻 (扣住button的套儿) )
2633,󳅘,（眼）镜,(eye) 镜
2634,󳅙,1、注（视）；2、醒（使动）；,1. 注(视) ; 2. 醒(使动) ; 
2635,󳅚,撞（鬼）,撞 (鬼)
2636,󳅛,虾（子）,虾 (子)
2637,󳅜,腋,腋
2638,󳅝,（鸡嗉子果（一种野果，可食用））,"(鸡嗉子果 (one种野果, 可食用) )"
2639,󳅞,（里面）有,"(里face, surface) 有"
2640,󳅟,睡,睡
2641,󳅠,（下弦（月））,"(descend, go down弦 (月) )"
2642,󳅡,江,江
2643,󳅢,（慢慢地）,"（慢慢place, location）"
2644,󳅣,勺子、匙,"勺子, 匙"
2645,󳅤,押送（犯人）,"押送 (犯person, people)"
2646,󳅥,（野鸭）,（野鸭）
2647,󳅦,笔,笔
2648,󳅧,（接物发语词）,"（接object, thing发语词）"
2649,󳅨,环,环
2650,󳅩,1、吉祥；2、（宗祠）；,1. 吉祥; 2. (宗祠) ; 
2651,󳅪,1、歌；2、（跳舞）；,1. 歌; 2. (跳舞) ; 
2652,󳅫,（手铐）,（hand铐）
2653,󳅬,1、拖、拉；2、抽、吸；,"1. 拖, 拉; 2. 抽, 吸; "
2654,󳅭,如、及,"如, 及"
2655,󳅮,1、汇合；2、参与；3、（开会）；,"1. 汇合; 2. 参与; 3, (drive, operate会) ; "
2656,󳅯,1、占卜；2、（法术）；,1. 占卜; 2. (法术) ; 
2657,󳅰,巫,巫
2658,󳅱,1、扳（弯、断）；2、（弯钩）；,"1. 扳(弯, 断) ; 2. (弯钩) ; "
2659,󳅲,吼,吼
2660,󳅳,（什么）,（什么）
2661,󳅴,头,头
2662,󳅵,叫（人）（传唤）,"叫(person, people)  (传唤)"
2663,󳅶,（耳朵）,（耳朵）
2664,󳅷,1、材料；2、（啄木鸟）；,1. 材料; 2. (啄wood鸟) ; 
2665,󳅸,（栘（yí）依果、多依果（一种乔木的果实。酸味，可食用，也可做药）,"(栘 (yí) 依果, 多依果（one种乔wood的果实.酸味, 可食用, 也可做药)"
2666,󳅹,（漂流、浪荡）,"（漂flow, stream, 浪荡）"
2667,󳅺,（蜂）窝,(蜂) 窝
2668,󳅻,（成团的物质）,"（成团的object, thing质）"
2669,󳅼,（群众、百姓）,"（群众, hundred姓）"
2670,󳅽,1、蹄子；2、（脚后跟）；,1. 蹄子; 2. (脚后follow) ; 
2671,󳅾,（肚脐眼）,（肚脐eye）
2672,󳅿,（（1）规规整整；（2）严严实实；）,( (1) 规规整整; (2) 严严实实; )
2673,󳆀,嚎叫,嚎叫
2674,󳆁,1、饱；2、饱满；3、胀；,"1. 饱; 2. 饱满; 3, 胀; "
2675,󳆂,（垢腻）,（垢腻）
2676,󳆃,笋,笋
2677,󳆄,（香芝麻花，（一种野生植物），其花、叶子古时曾作茶用）,"(香芝hemp, numb花,  (one种野生植object, thing) , 其花, 叶子古时曾作茶用)"
2678,󳆅,（球状物体）,"（球状object, thing体）"
2679,󳆆,（菲篥（li）（一种吹奏的草杆乐器）,(菲篥 (li) （one种吹奏的grass杆乐器)
2680,󳆇,（锛子（锛子是削平木料的工具））,(锛子 (锛子是削平wood料的工具) )
2681,󳆈,（蹲起）,"（squat, crouchrise, get up）"
2682,󳆉,（彩虹）,（彩虹）
2683,󳆊,觉察、发觉、感觉,"觉察, 发觉, 感觉"
2684,󳆋,私人,"私person, people"
2685,󳆌,（蓖麻）,"（蓖hemp, numb）"
2686,󳆍,赌,赌
2687,󳆎,（风箱）,（风箱）
2688,󳆏,（猛）拉,(猛) 拉
2689,󳆐,（孔眼、空洞）,"（孔eye, 空洞）"
2690,󳆑,（（祭祀用的）酒具）,"( (祭祀用的) wine, alcohol具)"
2691,󳆒,1、打；2、（椎chuí 杀（击杀））；,1. 打; 2. (椎chuí 杀 (击杀) ); 
2692,󳆓,1、看；2、（形容飞快消逝）；,1. 看; 2. (形容飞快消逝) ; 
2693,󳆔,（赌咒）,（赌咒）
2694,󳆕,诓（欺骗）（小孩）,诓(欺骗)  (小孩)
2695,󳆖,（干瞪眼）,（dry瞪eye）
2696,󳆗,（葫芦）,（葫芦）
2697,󳆘,石头,石头
2698,󳆙,雹,雹
2699,󳆚,1、（爽朗）；2、（赤陀，人名，氏族名，是彝族先民中首创典章者）；,"1. (爽朗) ; 2. (赤陀, person, people名, 氏族名, 是彝族先民中首创典章者) ; "
2700,󳆛,（舌头）伸缩,(tongue头) 伸缩
2701,󳆜,（蝉、知了）,"（蝉, 知了）"
2702,󳆝,美丽、漂亮、干净,"美丽, 漂亮, dry净"
2703,󳆞,1、美；2，良，好；,"1, 美; 2, 良, 好; "
2704,󳆟,（雷）,（雷）
2705,󳆠,辣疼、辣痛,"辣疼, 辣痛"
2706,󳆡,1、交合；2、会、合；,"1. 交合; 2. 会, 合; "
2707,󳆢,（懒）,（懒）
2708,󳆣,容量大,"容量big, large"
2709,󳆤,（魔芋）,（konjac）
