0xf222e	󲈮	󳤣|󐁥󲐀，󲊂󐁥󲐀
0xf304d	󳁍	的意思是离开（离drive, operate）。|󲹝󲭋󲷞󲧆󲨰󳆅󲶐󲢝󲩡󳆤
0xf304e	󳁎	󲡶󲵮󳙕󳛢󳄄|炖用通用彝文写作「」。
0xf304f	󳁏	󳍱󳕑󲪃󳚁󳗑󲧿󳙂󲠧󳅇󳂕󲮭󳄍|的英文是浅蓝color，中文是浅蓝色。
0xf3050	󳁐	字符的词汇编号是5167。|的英文是（形容词缀），中文是（形容词缀）。
0xf3051	󳁑	󳆟 old heart|的意思是（口弦）（（口弦））。
0xf3052	󳁒	󳆲󳗯󲸏󲫅󲣄󳃒󲣼󳏛󳓺󲱆󲵣|1. 筋, 脉; 2. (水沟) ;
0xf3053	󳁓	的意思是（北斗星）（（北斗star））。|󲟯󲝜 sad family people
0xf3054	󳁔	彝文 unicode:0xf3054 通用彝文字符集|The Yi script for '（疡（yang）子，疮
0xf3055	󳁕	还, 又, 再 in Yi script is  (还、又、|还、又、再用通用彝文写作「」。
0xf3056	󳁖	󳌨󲼩󳚲󲮽󳈺󳈪󳙍󳜜󳈢|编号5173对应彝文字符。
0xf3057	󳁗	󲝾󳀝󲟭󳕑󳕄󳕁󳑛󲺽|是通用彝文字符 unicode 0xf3057 滇川黔桂彝文
0xf3058	󳁘	是通用彝文字符 unicode 0xf3058 滇川黔桂彝文|脚(抽) , 转筋;
0xf3059	󳁙	1. 硬; 2. 狠; 3, 难; 4, (结实) ;|是通用彝文字符 unicode 0xf3059 滇川黔桂彝文
0xf305a	󳁚	󲹹󲧈󳃡󳁖󲵞󲿃󳒪|󲮱󳖞󲰍󲰔󳖬󳒭󲹥󲞗󳐭󲼞󲝈
0xf305b	󳁛	彝文 unicode:0xf305b 通用彝文字符集|是通用彝文字符 unicode 0xf305b 滇川黔桂彝文
0xf305c	󳁜	的英文是哎 (叹词)，中文是哎（叹词）。|󲶳󲢕󳀍󳒻󲪬󲪌󳕏󲢣󲺕󳜝󲜫󲲽
0xf305d	󳁝	字符的词汇编号是5180。|编号5180对应彝文字符。
0xf305e	󳁞	彝文「」的意思是「捂」，英文是 捂。|的英文是捂，中文是捂。
0xf305f	󳁟	彝文 unicode:0xf305f 通用彝文字符集|彝文字符的中文含义是（太阳），英文含义是（太阳）。
0xf3060	󳁠	1、见；2、（知识）；3、（1、依靠、仰仗；2、重视、瞧得起|1. 见; 2. (知识) ; 3, (1. 依lean, 
0xf3061	󳁡	彝文 unicode:0xf3061 通用彝文字符集|是通用彝文字符 unicode 0xf3061 滇川黔桂彝文
0xf3062	󳁢	的意思是（灰尘）（（ash, gray尘））。|󲦪󲿲󳚹󳐌󳈜󲼗󲯺󲣁󲺻󳓱
0xf3063	󳁣	（背皮（背物套在额头上得皮带）用通用彝文写作「」。|（背皮 (背object, thing套在forehead上
0xf3064	󳁤	是通用彝文字符 unicode 0xf3064 滇川黔桂彝文|󲸸󳐷󳘛󲠼󳒽󲽈󲼧󳎻󳄯󲾇󲪱
0xf3065	󳁥	󲻧󲦲󲟦󳁺󳄫󲬻󲰷󳜦󳆢󲶫󳋭|󲾥󲾞󳛂󲴶󳗁󳍫󳊪󲺐󲾾󳏡󲤯󲹱󳂞
0xf3066	󳁦	彝文字符的中文含义是旁边，英文含义是旁edge, side。|的意思是旁边（旁edge, side）。
0xf3067	󳁧	󲤁󲾉󳆓󲲡󳛢󳕯󳓝󲺭󲟖󳙫|编号5190对应彝文字符。
0xf3068	󳁨	󳋫󲡋󲾌󲻳󳅴󳏙|的英文是细hair, wool，中文是细毛。
0xf3069	󳁩	󲰳󲸚󳐹󲽧󲯼|󳆦󳋉󳗇󳑭󲾆󲨟󲹘󲳹
0xf306a	󳁪	是通用彝文字符 unicode 0xf306a 滇川黔桂彝文|的英文是模样，中文是模样。
0xf306b	󳁫	（饭盆）用通用彝文写作「」。|󲟏󲢽󲶻󲨰󲫻󲳲󳋡
0xf306c	󳁬	是通用彝文字符 unicode 0xf306c 滇川黔桂彝文|1. place, location(ancient say
0xf306d	󳁭	1、（太阳）；2、（耳语）；用通用彝文写作「」。|󲸴󲽿󲭁󳕥󳙨󲠡󳓯󲤥󲦌
0xf306e	󳁮	彝文字符的中文含义是（盐）臼，英文含义是(盐) 臼。|的英文是(盐) 臼，中文是（盐）臼。
0xf306f	󳁯	󳎥󳗝󲝃󲢛󲶸󳚮󲾰󲺳󲺁󳓘󳜉󳕭󳔇|彝文字符的词汇编号是5198。
0xf3070	󳁰	󳚫󳛸󳂗󲽛󲶜󳋔󳆗󲮍󳈎󳊼󲦼󳉟|的意思是（人）躲（(person, people) 躲）。
0xf3071	󳁱	The Yi script for '积（灰尘）' is '|󲸢󲷼󳍸󲤞󳃕󲧡󲧬
0xf3072	󳁲	彝文字符的中文含义是赶，吆（猪、马），英文含义是赶, 吆 (|的意思是赶，吆（猪、马）（赶, 吆 (猪, horse)）。
0xf3073	󳁳	1. 破烂; 2. (槟榔) ; 3, (弯钩) ;|󲞵󳃕󲨨󲥀󲶌󳙞󲸆󳂫󳌕󳑘󲩣󲴾󲷸
0xf3074	󳁴	彝文「」的意思是「蘸」，英文是 蘸。|蘸用通用彝文写作「」。
0xf3075	󳁵	󲠶󲹑 bad mind world|󳐍󲽳󲬄󳎼󳛱󳎳󲞯󲺛󲞹󳌇󲳺󳇗󲨮󳔻
0xf3076	󳁶	是通用彝文字符 unicode 0xf3076 滇川黔桂彝文|彝文 unicode:0xf3076 通用彝文字符集
0xf3077	󳁷	的英文是驼，中文是驼。|是通用彝文字符 unicode 0xf3077 滇川黔桂彝文
0xf3078	󳁸	「1、栖息；2、（（群鸦）乱叫（彝族民间认为这是凶兆））；」|1、栖息；2、（（群鸦）乱叫（彝族民间认为这是凶兆））；用通
0xf3079	󳁹	字符的词汇编号是5208。|1. 施政, 发布(政令) ; 2. (point, ind
0xf307a	󳁺	󲻧󲦲󲟦󳄫󲬻󲰷󳜦󳁥󳆢󲶫󳋭|󲼘󲟍 death ocean star
0xf307b	󳁻	彝文字符的词汇编号是5210。|编号5210对应彝文字符。
0xf307c	󳁼	的英文是(鸟) 巢, 窝，中文是（鸟）巢、窝。|彝文字符的中文含义是（鸟）巢、窝，英文含义是(鸟) 巢, 窝
0xf307d	󳁽	是通用彝文字符 unicode 0xf307d 滇川黔桂彝文|󳏄󳙝󲻐󳛮󳔝󲺀󳅐󲠦󲾭󲡲
0xf307e	󳁾	的英文是破烂，中文是破烂。|的意思是破烂（破烂）。
0xf307f	󳁿	的英文是（onomatopoeia），中文是（象声词）。|的意思是（象声词）（（onomatopoeia））。
0xf3080	󳂀	是通用彝文字符 unicode 0xf3080 滇川黔桂彝文|(远) 祖
0xf3081	󳂁	彝文字符的中文含义是（悲恸），英文含义是（悲恸）。|的意思是（悲恸）（（悲恸））。
0xf3082	󳂂	󲡦󲶉󲞀󲩣󳚆󳐁󲵅󳐛󳆀|1. 渡(船) , 划(船) ; 2. 游(泳) ; 3, 
0xf3083	󳂃	是通用彝文字符 unicode 0xf3083 滇川黔桂彝文|的英文是(词头 (脸) )，中文是（词头（脸））。
0xf3084	󳂄	󳍳󲵒󳘞󳋝󳈅󳏹󳂲󲝚󳔴󳀻󲩷󲱼󲣶󲭾|The Yi script for '1、亲（疏）；2、亲（
0xf3085	󳂅	是通用彝文字符 unicode 0xf3085 滇川黔桂彝文|1. 荞; 2. (个旧, 彝语称个旧) ;
0xf3086	󳂆	彝文字符的中文含义是撬，英文含义是撬。|󲧓󳙽󳑴󲲬󲿺󲣔󳕀󳘻󳒂󳚁󲠩󲟕󳗀
0xf3087	󳂇	彝文字符的中文含义是（灯盏），英文含义是（灯盏）。|的英文是（灯盏），中文是（灯盏）。
0xf3088	󳂈	󳙃󲠿󳎷󲼔󲣍󳇪󲾁󳙬󲠥󲠈|的意思是吉利（吉利）。
0xf3089	󳂉	󳙷󲩱󲺛󲟲󲭂󲹑󳍛󲞚󳛸󲿿|󲼭󲷪󲮚󲴀󳁿󳆑󲻩󳐼󲨄󲜳󳋂󳛂
0xf308a	󳂊	碗|󲨺󳆷󳀞󲥼󲤙󲡴󲵦󲶺󲷓󳌄󳄣󳈉󳁁󲠐
0xf308b	󳂋	󲴏󲹱󲝮󲱡󲻺󲴅󲩹󳊥󲼻󳎋󲯇󲧾|是通用彝文字符 unicode 0xf308b 滇川黔桂彝文
0xf308c	󳂌	泡沫 in Yi script is  (泡沫).|的意思是泡沫（泡沫）。
0xf308d	󳂍	彝文「」的意思是「戏」，英文是 戏。|彝文字符的中文含义是戏，英文含义是戏。
0xf308e	󳂎	彝文 unicode:0xf308e 通用彝文字符集|彝文字符的中文含义是(可爱），英文含义是(可爱）。
0xf308f	󳂏	是通用彝文字符 unicode 0xf308f 滇川黔桂彝文|󳛸󲝾󳈛󳌧󲽐󳅠󳈿󳖏󳒼󳈹󲺩󳁱󳎅
0xf3090	󳂐	󲷮󲲺 snow moon small|彝文 unicode:0xf3090 通用彝文字符集
0xf3091	󳂑	（猫，古语）用通用彝文写作「」。|彝文字符的中文含义是（猫，古语），英文含义是（猫, anci
0xf3092	󳂒	彝文字符的中文含义是绘，英文含义是绘。|󲷒󲝔󲿣󲽗
0xf3093	󳂓	是通用彝文字符 unicode 0xf3093 滇川黔桂彝文|彝文 unicode:0xf3093 通用彝文字符集
0xf3094	󳂔	󳍉󲲇󲣮󲢎󲞰󳙦󲦑󳂞󳘽󲤀|的英文是（ash, gray叶菜），中文是（灰叶菜）。
0xf3095	󳂕	󳍱󳕑󲪃󳚁󳗑󲧿󳙂󲠧󳅇󳁏󲮭󳄍|是通用彝文字符 unicode 0xf3095 滇川黔桂彝文
0xf3096	󳂖	󲮯󳊘󲺈󲳰󲜥󳆹󳑵󳇠󲝉󳍕󳙃|是通用彝文字符 unicode 0xf3096 滇川黔桂彝文
0xf3097	󳂗	是通用彝文字符 unicode 0xf3097 滇川黔桂彝文|彝文字符的中文含义是1、遮挡；2、挡，英文含义是1. 遮挡;
0xf3098	󳂘	是通用彝文字符 unicode 0xf3098 滇川黔桂彝文|󲫬󳔶󲜕󳌳󲥧
0xf3099	󳂙	󳉦󲰮󲯣󲡌󳕇󳖅󲝘|The Yi script for '1、新；2、辛（天干第
0xf309a	󳂚	󲵨󲮟 sky flower true|是通用彝文字符 unicode 0xf309a 滇川黔桂彝文
0xf309b	󳂛	喂 in Yi script is  (喂).|喂
0xf309c	󳂜	的英文是将要，中文是将要。|是通用彝文字符 unicode 0xf309c 滇川黔桂彝文
0xf309d	󳂝	彝文字符的中文含义是付（量词），英文含义是付 (量词)。|付（量词）用通用彝文写作「」。
0xf309e	󳂞	字符的词汇编号是5245。|󲿛󲻞󳀏󲝷󳅮󲻀󲪎󲪱󲡐󲝭󲹞󲲛󲾓
0xf309f	󳂟	癞|彝文「」的意思是「癞」，英文是 癞。
0xf30a0	󳂠	是通用彝文字符 unicode 0xf30a0 滇川黔桂彝文|丑陋 in Yi script is  (丑陋).
0xf30a1	󳂡	丝 (thread, line)|󲢵󲥔󳆣󳔕󳁆󲠀󳊡󲣽
0xf30a2	󳂢	彝文 unicode:0xf30a2 通用彝文字符集|（吹捧, 奉承） in Yi script is  (（吹捧
0xf30a3	󳂣	欺辱, 欺负 in Yi script is  (欺辱、欺负|󲤞󲿪󲦘󳒥󳋧󳐀󳌼󳛻
0xf30a4	󳂤	󲝯󳖃󲿳󳈥󲷡󲞯󲭣󳍳󲻬󲡨|的意思是蒸（饭）（蒸 (饭)）。
0xf30a5	󳂥	揍 in Yi script is  (揍).|󳆳󲪜󲴈󲤧󳎭󲳲󲧱󲲿󳃊󲰺󳌙󳇮󳋢
0xf30a6	󳂦	分(櫱 (niè) )|󲯴 snow mountain
0xf30a7	󳂧	的意思是（家谱）（（家谱））。|是通用彝文字符 unicode 0xf30a7 滇川黔桂彝文
0xf30a8	󳂨	的意思是（火药）（（fire药））。|The Yi script for '（火药）' is ''
0xf30a9	󳂩	󲪕󲴴 beautiful valley space|是通用彝文字符 unicode 0xf30a9 滇川黔桂彝文
0xf30aa	󳂪	的英文是鼓 (eye)，中文是鼓（眼）。|鼓 (eye)
0xf30ab	󳂫	祭 (祖)|󲽱󳘍󲱵󲴩󳐆󳁥󲬝󲪏󲪋󳋧
0xf30ac	󳂬	󲮮󲡿󳗵󳍅󳅣󳒐󳆉󲭾󳘶󲧦󲰩󳁓󲰛|󳇷󲥠󳂆󲫍󳗳󲝃󲴧󳅡󲩉󲧿󲝀󲽪󲼀󲦐
0xf30ad	󳂭	的英文是分养 (母畜)，中文是分养（母畜）。|彝文字符的中文含义是分养（母畜），英文含义是分养 (母畜)。
0xf30ae	󳂮	󲥒󲥫󲬂󲺛󳔕󳁋󲣧󳀡󲫺󳓅󲪑|彝文 unicode:0xf30ae 通用彝文字符集
0xf30af	󳂯	1. 疥疮; 2. (水痘) ;|󳗒󲹬󳘸󲯺󳜆󲮮󳛿󲫡󳇔󳌁󲱄󲜘󲠌
0xf30b0	󳂰	是通用彝文字符 unicode 0xf30b0 滇川黔桂彝文|索 in Yi script is  (索).
0xf30b1	󳂱	1. 处(量词) ; 2. (这) 里; 3, (哪) 里;|󳇂󲸷󳛠󲲲󲠒󲿫󲪻󲺳󳖍󳈩
0xf30b2	󳂲	󳛚󳎲󲴮󳕊󲴚󲷒󲭯󳏕󲸜󲴧󲯴󲷈|彝文字符的中文含义是（蜥蜴），英文含义是（蜥蜴）。
0xf30b3	󳂳	彝文 unicode:0xf30b3 通用彝文字符集|遗传 in Yi script is  (遗传).
0xf30b4	󳂴	的意思是（马）鞍（(horse) 鞍）。|(horse) 鞍 in Yi script is  (（马
0xf30b5	󳂵	󳆇󳍔󲨅󳅶󳌗󳍰󳍥󲼲󲩯󲲍|是通用彝文字符 unicode 0xf30b5 滇川黔桂彝文
0xf30b6	󳂶	是通用彝文字符 unicode 0xf30b6 滇川黔桂彝文|的英文是（化脓），中文是（化脓）。
0xf30b7	󳂷	1. (square, direction法) ; 2. (|「1、（方法）；2、（旁边）；」的通用彝文是「」。
0xf30b8	󳂸	󳊂󳄞󲧏󳖼󳗄󲼂󲞟󲹕󲤲󲱻|是通用彝文字符 unicode 0xf30b8 滇川黔桂彝文
0xf30b9	󳂹	的意思是照、映（照, 映）。|照, 映
0xf30ba	󳂺	1、（白酒、烧酒）；2、（纪俄格，古乌撒地方政权的彝称）；用|The Yi script for '1、（白酒、烧酒）；2
0xf30bb	󳂻	字符的词汇编号是5274。|󳃿󲱺󳌆󳏼󲲂󲦮󳚠
0xf30bc	󳂼	󲤥󲥥󲮗󲯑|的英文是浮肿, 水肿，中文是浮肿、水肿。
0xf30bd	󳂽	󲠠󲯠󳊽󳛎󳛯󲩧󲭍󳒅󲠺󲹹󳔰󲣍󲰃|是通用彝文字符 unicode 0xf30bd 滇川黔桂彝文
0xf30be	󳂾	字符的词汇编号是5277。|（铜帽） in Yi script is  (（铜帽）).
0xf30bf	󳂿	󳁨󲝻󳙡󲫱󳍚󳈖󳘎󳖋󲝷󳙪󲝤󲽞󲹦|󲹀󲣌󳈘󳚠󲞶󳁭󲹵󲜗󳌨󲡈󳀚󳇏
0xf30c0	󳃀	的意思是（骨）髓（(骨) 髓）。|󳑚󳃕󲦫󲫀󲞛󳆶󲝫󳔮󲽶
0xf30c1	󳃁	1. grass墩; 2. 圈(量词) , 读, ʨ‘ye;|是通用彝文字符 unicode 0xf30c1 滇川黔桂彝文
0xf30c2	󳃂	1. 死; 2. 死亡; 3, 灭亡; 4, 认输;|󲠛󳍛󳌞󲴓󲹓󲜿󳑎󲱤󲺦󳃎󲵫󲠺󲝔󲨰
0xf30c3	󳃃	杯 (子) in Yi script is  (杯（子）).|󲷵󳃸󳂣󳜁󲰘󳓘󲧻󲝺󲾻󳍝󳐺
0xf30c4	󳃄	是通用彝文字符 unicode 0xf30c4 滇川黔桂彝文|󳕅󳜟󳇣󲳼󲣜󳗵󲟍󳍷󲯾󳛊󳚺󲦰󲻝󲮇
0xf30c5	󳃅	「掰、扳（开）」的通用彝文是「」。|The Yi script for '掰、扳（开）' is 
0xf30c6	󳃆	是通用彝文字符 unicode 0xf30c6 滇川黔桂彝文|(山) top, support, (树) 梢
0xf30c7	󳃇	󲾎󲵝 earth beautiful mountain|󳍈󲶉󲳭󲯟󳏣󲳢󲿀󳎥󳌨󲯝󲤶󲨐󳘏
0xf30c8	󳃈	是通用彝文字符 unicode 0xf30c8 滇川黔桂彝文|磨 (动词, 磨face, surface, 磨豆腐)
0xf30c9	󳃉	󳔰󳑘󳌃󲱠󳃇󳐫󳙨󳁊󲷥󲯬󲢗|痴呆
0xf30ca	󳃊	是通用彝文字符 unicode 0xf30ca 滇川黔桂彝文|󳇉󲲀󳉑󳏚󳗧󳉟󲷪󲟶󲝯
0xf30cb	󳃋	衣裳|「衣裳」的通用彝文是「」。
0xf30cc	󳃌	的英文是平静，中文是平静。|是通用彝文字符 unicode 0xf30cc 滇川黔桂彝文
0xf30cd	󳃍	是通用彝文字符 unicode 0xf30cd 滇川黔桂彝文|󳓮󲪦 kind cold light
0xf30ce	󳃎	1、（谜语）；2、猜测，推测；用通用彝文写作「」。|󳊏󲽡󳏏󳃑󳊖󲬯󳇈
0xf30cf	󳃏	1. rise, get up始; 2. 兴rise, ge|󳉁󳂋󳜜󲠩󳎸󲩬󳂮󲫨
0xf30d0	󳃐	（操作）|󲧸󳑁󲮅󲞾
0xf30d1	󳃑	( (传说中的) 水怪)|󳊏󲽡󳃎󳏏󳊖󲬯󳇈
0xf30d2	󳃒	（fire坑）|The Yi script for '（火坑）' is ''
0xf30d3	󳃓	1. 年; 2. 岁;|1. 年; 2. 岁; in Yi script is  (
0xf30d4	󳃔	󲻎󳐛󳀝󳆗󲸝󲦣󲫍󲳏󳇒 dripping water wears|󳋱󲥃󲢄󲥉󲧉󳄦󲸱󲻿󳖛
0xf30d5	󳃕	󳓇󲡽󳀑󲯷󳅈󲼊󲾖󳌖󲸁󳌍󳁌|󳑚󲦫󳃀󲫀󲞛󳆶󲝫󳔮󲽶
0xf30d6	󳃖	是通用彝文字符 unicode 0xf30d6 滇川黔桂彝文|的意思是梭动、移动（梭动, 移动）。
0xf30d7	󳃗	的意思是野牛（野cow, ox）。|野cow, ox in Yi script is  (野牛)
0xf30d8	󳃘	The Yi script for '（葫芦）' is ''|（葫芦）用通用彝文写作「」。
0xf30d9	󳃙	（sky, heavenhemp, numb） in Yi |是通用彝文字符 unicode 0xf30d9 滇川黔桂彝文
0xf30da	󳃚	起（皮）用通用彝文写作「」。|rise, get up (皮) in Yi script 
0xf30db	󳃛	(动object, thing) 油 in Yi scrip|编号5306对应彝文字符。
0xf30dc	󳃜	1. 凶恶(专point, indicate兽class) |这是彝文字符
0xf30dd	󳃝	舍得 in Yi script is  (舍得).|彝文 unicode:0xf30dd 通用彝文字符集
0xf30de	󳃞	是通用彝文字符 unicode 0xf30de 滇川黔桂彝文|󲣌󳗳󳈕󲨑󲹀󳈉󲾮󳆜󲦌󲠑󳅫󲭁󲵶󲫴
0xf30df	󳃟	同意 in Yi script is  (同意).|是通用彝文字符 unicode 0xf30df 滇川黔桂彝文
0xf30e0	󳃠	彝文字符的中文含义是伸（脚、手），英文含义是伸 (脚, ha|󲼗󳗘󳏰󲯖󳇸󲹍󲱤󲷘󳛨
0xf30e1	󳃡	李 (子) in Yi script is  (李（子）).|的意思是李（子）（李 (子)）。
0xf30e2	󳃢	（形容嚼食动词） in Yi script is  (（形容|The Yi script for '（形容嚼食动词）' i
0xf30e3	󳃣	The Yi script for '吧（语气助词）' is|彝文 unicode:0xf30e3 通用彝文字符集
0xf30e4	󳃤	是通用彝文字符 unicode 0xf30e4 滇川黔桂彝文|󳌋󳗚 river old light
0xf30e5	󳃥	󲺮󳑍󲴏󳌻󲻆󲰲󲷒󲠨󲺹󲦟󲭘󲹍|浓稠 in Yi script is  (浓稠).
0xf30e6	󳃦	1. 腹; 2. (受贿) ; 3, (怀孕) ;|󲡙 flower ocean
0xf30e7	󳃧	󲥔󲮻󲦿󳎫󲵥󲽿|刺猬
0xf30e8	󳃨	彝文字符的词汇编号是5319。|彝文 unicode:0xf30e8 通用彝文字符集
0xf30e9	󳃩	尊敬用通用彝文写作「」。|󳓣󳅺 hello strong slow
0xf30ea	󳃪	󲾗󲻙󳗸󳆆󳑎󳊹󲞍󲿊󲦢󳏓󲶺󳚏󲪔|󲯕󳕍󲽉󳌈󳚎󲴇
0xf30eb	󳃫	的意思是（非正常死亡）（（非正常死亡））。|󲱰󳑤󲠊󲟒󳉰󲬟󳀹󲣛󲸪󲼰
0xf30ec	󳃬	󳖲󳕏󲮜󲦎󲣮󲶊󳅹󲝕󲨻󲦱󲦽󳙰󳎿|1. 集中; 2. (列席, 到会) ; 3, (相会) ;
0xf30ed	󳃭	The Yi script for '操纵、统管' is '|的意思是操纵、统管（操纵, 统tube, pipe）。
0xf30ee	󳃮	󳔲󳆸󲾣󳊆󲯰󳈴󳍯󲩂󲣃󳀙󲞻|󲳶󳆲󲮸󳀫󳉇󳌫󲩴󳓸󲻣󲲅󳂕󲲌󳓙
0xf30ef	󳃯	The Yi script for '1、咬；2、咬（使动）|󲱣󲞻󲠭󳜏󳙼󳗖󲺳󲽲󲤢󳗃
0xf30f0	󳃰	是通用彝文字符 unicode 0xf30f0 滇川黔桂彝文|编号5327对应彝文字符。
0xf30f1	󳃱	彝文字符的中文含义是隔（动词），英文含义是隔 (动词)。|彝文 unicode:0xf30f1 通用彝文字符集
0xf30f2	󳃲	（荨（qian）麻）用通用彝文写作「」。|The Yi script for '（荨（qian）麻）'
0xf30f3	󳃳	󲟂 spirit earth|的意思是（窥探）（（窥探））。
0xf30f4	󳃴	的英文是租，中文是租。|󳛑󲩖󲳢󳔐󳖇󳒯󳂥󲦛󲰷󳌳
0xf30f5	󳃵	的英文是（强调），中文是（强调）。|彝文字符的中文含义是（强调），英文含义是（强调）。
0xf30f6	󳃶	字符的词汇编号是5333。|The Yi script for '（黏糊糊）' is '
0xf30f7	󳃷	The Yi script for '完（事做完了没有？）'|󳅮󲼺󳈈󲭏󲪹󳚭
0xf30f8	󳃸	彝文字符的中文含义是（臭味），英文含义是（臭味）。|󲷧󳛑󳘋󲣗󲰦󳚏󳀜󲴥󲾿󲹃󲭺󳊓󲤦󲝩
0xf30f9	󳃹	的意思是（形容词缀）累累（(形容词缀) 累累）。|是通用彝文字符 unicode 0xf30f9 滇川黔桂彝文
0xf30fa	󳃺	的意思是荒（芜）（荒 (芜)）。|「荒（芜）」的通用彝文是「」。
0xf30fb	󳃻	的英文是（one会儿 ），中文是（一会儿 ）。|「（一会儿 ）」的通用彝文是「」。
0xf30fc	󳃼	󳒆󲼜󲨲󲦌󲥑󳏜󲷔󲷺󲳰󲲹󲨯|（稀烂）用通用彝文写作「」。
0xf30fd	󳃽	（宇宙）用通用彝文写作「」。|的意思是（宇宙）（（universe））。
0xf30fe	󳃾	彝文字符的词汇编号是5341。|󲬝󲜣󲢭󲱶󲤲󲡥󳍓󲷶󳈛󳈇󲨕󲨧󲩙󳙧
0xf30ff	󳃿	是通用彝文字符 unicode 0xf30ff 滇川黔桂彝文|泡（形容词）用通用彝文写作「」。
0xf3100	󳄀	(小的)  (畜生)圈|是通用彝文字符 unicode 0xf3100 滇川黔桂彝文
0xf3101	󳄁	The Yi script for '（青幽幽）' is '|󲱾󳆸󳖖󲴒󲳢󳄟
0xf3102	󳄂	的意思是竹（竹）。|The Yi script for '竹' is ''. I
0xf3103	󳄃	The Yi script for '肠' is ''. I|「肠」的通用彝文是「」。
0xf3104	󳄄	的意思是盐巴（盐巴）。|󲫧󲼼󲺣󳎷󳋙󲣳󳂷󲧵󲡡󳙼
0xf3105	󳄅	彝文 unicode:0xf3105 通用彝文字符集|󲪠󳋅󲧎󳇈󲼼󳉾󳍤󲥏󳒚󲥟
0xf3106	󳄆	彝文 unicode:0xf3106 通用彝文字符集|󲩭󲯻󳀓󳏃󲯧󲫜󳀫󲲽
0xf3107	󳄇	󳗛󲱖󳋍󲹱󳏛󲧮󳁙󳇚󳙎󳕓󲪩󲻨󳘝|是通用彝文字符 unicode 0xf3107 滇川黔桂彝文
0xf3108	󳄈	字符的词汇编号是5351。|的英文是贪婪，中文是贪婪。
0xf3109	󳄉	󲥽󳎑󲧭󲶦󳖂󲥘󲴲|󲨁󲸞󲿠󳗅󳌾󲟟󳙸󳁘󲻵󲜩󳄌󲺢󳅪󲯝
0xf310a	󳄊	是通用彝文字符 unicode 0xf310a 滇川黔桂彝文|1. 蛋; 2. 生 (蛋)
0xf310b	󳄋	的英文是（小饼），中文是（小饼）。|The Yi script for '（小饼）' is ''
0xf310c	󳄌	󲨁󲸞󲿠󳗅󳌾󲟟󳙸󳁘󲻵󲜩󲺢󳅪󳄉󲯝|「（诽谤）」的通用彝文是「」。
0xf310d	󳄍	tongue头 in Yi script is  (舌头).|󲭌󲧛󲱜󳑏󳍤󳎇󳈜󳗲󳉋󳁘
0xf310e	󳄎	裤子|是通用彝文字符 unicode 0xf310e 滇川黔桂彝文
0xf310f	󳄏	1. 炒; 2. 煎; in Yi script is  (|󲰷󳚚󲻠󳗮󳙀󲻫󲦷󳗿󲼵󲭦󳛱
0xf3110	󳄐	编号5359对应彝文字符。|（怀）孕（古语）用通用彝文写作「」。
0xf3111	󳄑	「1、（玩耍）；2、（铃铛）；」的通用彝文是「」。|是通用彝文字符 unicode 0xf3111 滇川黔桂彝文
0xf3112	󳄒	󲹳󳔎󳗑󲷟󳐬󲺅󲵨󲽪󲺭󳗦󲠱󲝫|󳊏󳚏󲯬󲹎󲻣󲱷󳔘󲥡󳇅
0xf3113	󳄓	1、宇宙；2、（妥鲁博）；用通用彝文写作「」。|The Yi script for '1、宇宙；2、（妥鲁博
0xf3114	󳄔	󲸣󲢣󲱽󳖦󳄏󳆩|是通用彝文字符 unicode 0xf3114 滇川黔桂彝文
0xf3115	󳄕	口吃, 结巴|的意思是口吃、结巴（口吃, 结巴）。
0xf3116	󳄖	是通用彝文字符 unicode 0xf3116 滇川黔桂彝文|1. 锁(名词) ; 2. 锁(动词) ;
0xf3117	󳄗	锣|󲿍󳗿󲡕󲣉󳍈󲭅󳙟
0xf3118	󳄘	彝文字符的中文含义是茄（子），英文含义是茄 (子)。|彝文字符的词汇编号是5367。
0xf3119	󳄙	󳁽󲦄󳁩󲫁󲶌󳄊󲮛󳋂󲶕󲠬󲼗󲵬󳊃󲹴|1. 伤害; 2. (形容词缀 (懒洋洋) );
0xf311a	󳄚	彝文 unicode:0xf311a 通用彝文字符集|的英文是（臭虫），中文是（臭虫）。
0xf311b	󳄛	󲳳󳓠 people kind brave|The Yi script for '（1、（埋怨）；2、（
0xf311c	󳄜	󳀅󲷕󲠕󳘅󳑎󳉐󳏲󳛖󲺏󳎸󲦈|编号5371对应彝文字符。
0xf311d	󳄝	1. 月(名词)  (月亮); 2. 月(量词) ;|是通用彝文字符 unicode 0xf311d 滇川黔桂彝文
0xf311e	󳄞	󳊂󲧏󳖼󳗄󲼂󲞟󲹕󲤲󲱻󳂸|是通用彝文字符 unicode 0xf311e 滇川黔桂彝文
0xf311f	󳄟	󳄁󲱾󳆸󳖖󲴒󲳢|掏
0xf3120	󳄠	彝文 unicode:0xf3120 通用彝文字符集|󲡑󳔚󲢝󳛢󲡅󳍪󳖾󲮍󲵕󲝗󲸙󲞺
0xf3121	󳄡	的英文是煎炸，中文是煎炸。|的意思是煎炸（煎炸）。
0xf3122	󳄢	彝文字符的词汇编号是5377。|是通用彝文字符 unicode 0xf3122 滇川黔桂彝文
0xf3123	󳄣	的英文是（清楚, 明白），中文是（清楚、明白）。|（清楚, 明白） in Yi script is  (（清楚
